[13:48.000 --> 14:05.300]  Great. How's everything? How's studies going on? I think the recent topic has been more
[14:05.300 --> 14:15.700]  difficult. Yeah, I totally understand that. Yes, the week 4 topic is a little more complicated
[14:15.700 --> 14:21.700]  if you haven't studied number systems in the past. So that's what we are going to discuss
[14:21.700 --> 14:32.700]  today during this next hour and a half. I thought we're going to be talking about last
[14:32.700 --> 14:38.260]  week's topic. We're going to finish that. Oh, are we going to talk about week 4? Are we
[14:38.260 --> 14:45.260]  going to move on week 4? Because in that case, I think it'll be better. So we only did week,
[14:45.260 --> 14:51.260]  we only finished week 3, right? Was there anything left? We discussed about how we didn't
[14:51.260 --> 14:57.260]  finish it in time because we didn't have time or something, but I think it was like, we
[14:57.260 --> 15:04.260]  probably didn't have. If I remember correctly, we finished until cloud storage and that's
[15:04.260 --> 15:14.260]  one point, one point nine, which is the last topic. Okay, it's worth going through the subject
[15:14.260 --> 15:18.260]  guide before we start the class so that we can see that if there is anything left, we can
[15:18.260 --> 15:24.260]  cover that. So are you saying that you found some difficulty in the previous class or this
[15:24.260 --> 15:41.260]  one week 4? Good morning. How week 4? So this ongoing week is week 4, isn't it? We are
[15:41.260 --> 15:51.260]  currently in week 4, correct? Martin, am I wrong? No, we are in week 4. This is with 4,
[15:51.260 --> 15:59.260]  this is week 4, correct? Yes. Okay, guys, we see that three of you have turned on the camera.
[15:59.260 --> 16:08.260]  Thank you so much for that and I request other members also to keep camera on during this lesson.
[16:08.260 --> 16:22.260]  Yes, it's Tyler, Gabriel, software, Alma. I'm not sure because I generally don't see all
[16:22.260 --> 16:28.260]  the cameras on, but I think that's a problem from my end. I need to figure out why. Martin, I can just see three
[16:28.260 --> 16:38.260]  students. How many can you see with the cameras on? Two, four, eight on my end. Okay, so I don't
[16:38.260 --> 16:46.260]  know what's the reason that it shows me. It doesn't show me all the cameras on. Got no
[16:46.260 --> 16:55.260]  answers for the reason. Right. And right now we have 17 students with us. Yeah, we have 17
[16:55.260 --> 17:05.260]  hours of now. Okay, by the time everybody joins in. So it's one, one or one. So we are just one
[17:05.260 --> 17:11.260]  minute ahead of it. So we can spend next three to four minutes talking to each other about how things are
[17:11.260 --> 17:17.260]  going. Anyone would like to just share any quick reflection about how you start is going.
[17:17.260 --> 17:28.260]  Are there any areas of concern or is there anything else that you would like to discuss?
[17:28.260 --> 17:32.260]  Please feel free to share whatever your thoughts are because we are completing one month now.
[17:32.260 --> 17:37.260]  This is the fourth week. So we are almost completing one month. So how has everything?
[17:37.260 --> 17:54.260]  How is everything going with you? Anyone? So most of the material. Understandable? Okay.
[17:55.260 --> 18:02.260]  I found that circuit is difficult. Which one? The circuit.
[18:02.260 --> 18:11.260]  The circuit is difficult. Okay. All right. Okay.
[18:11.260 --> 18:19.260]  Yes, it does. Okay. I mean, if there is some technical issues, that's fine. But if your camera is working,
[18:19.260 --> 18:26.260]  then I would expect that you should keep it on.
[18:26.260 --> 18:32.260]  So we now have how many 20 students probably will have fewer more joining in.
[18:32.260 --> 18:40.260]  So it's a good idea to go through the subject guide once so that we can see that how we are progressing with the course.
[18:40.260 --> 18:47.260]  So I will just share my screen quickly and we'll have a look at the subject guide.
