[05:00.000 --> 05:29.960]  How's everything, guys?
[05:29.960 --> 05:32.960]  We still have two minutes, so we can just do some informal chat.
[05:32.960 --> 05:34.960]  How's everything, how's studies going on?
[05:34.960 --> 05:37.960]  How's school going on?
[05:37.960 --> 05:39.960]  It's going to be great.
[05:39.960 --> 05:48.960]  It's going good. Good to hear that.
[05:48.960 --> 05:52.960]  Anyone else?
[05:52.960 --> 05:55.960]  Yes, this person, we have a break.
[05:55.960 --> 06:00.960]  Now, a week off.
[06:00.960 --> 06:02.960]  So this is your term break?
[06:02.960 --> 06:04.960]  Yes.
[06:04.960 --> 06:06.960]  Good.
[06:06.960 --> 06:09.960]  We'll have our term break next week for Palmoja.
[06:09.960 --> 06:15.960]  So you can have one week of time away from canvas.
[06:15.960 --> 06:19.960]  I don't really want you to be working anything as of now.
[06:19.960 --> 06:24.960]  Just enjoy your break so that once you're back,
[06:24.960 --> 06:29.960]  for the second quarter, we will see what we need to do
[06:29.960 --> 06:34.960]  for the second term and going forward.
[06:34.960 --> 06:38.960]  Hi, Namu. Good to see you.
[06:38.960 --> 06:41.960]  Hello.
[06:41.960 --> 06:44.960]  Hi, Ujiya.
[06:44.960 --> 06:49.960]  Nice background. Is that a virtual background or real?
[06:49.960 --> 06:53.960]  It's a virtual background.
[06:53.960 --> 06:57.960]  People generally put some fancy backgrounds,
[06:57.960 --> 07:01.960]  any reason why you have put it as black.
[07:01.960 --> 07:03.960]  It looks good, though.
[07:03.960 --> 07:06.960]  I don't have a particular reason.
[07:06.960 --> 07:11.960]  Yeah, but it looks nice.
[07:11.960 --> 07:16.960]  Hello, Sarah.
[07:16.960 --> 07:18.960]  Hello.
[07:18.960 --> 07:24.960]  And Alma, is it possible for you all to turn on your camera?
[07:24.960 --> 07:26.960]  Yeah.
[07:26.960 --> 07:28.960]  Sure. Thank you.
[07:28.960 --> 07:35.960]  Issa. Alma.
[07:35.960 --> 07:37.960]  So we have 12 members.
[07:37.960 --> 07:39.960]  In fact, 11, 12 including me.
[07:39.960 --> 07:42.960]  So total 11 members of war.
[07:42.960 --> 07:43.960]  It's 6.30.
[07:43.960 --> 07:47.960]  Maybe next couple of minutes will have few more.
[07:47.960 --> 07:49.960]  So welcome to today's session.
[07:49.960 --> 07:55.960]  So this is going to be the last lesson for topic A1.
[07:55.960 --> 08:01.960]  So we will be finishing this first chapter by the end of this webinar.
[08:01.960 --> 08:03.960]  But your week goes all the way to Tuesday.
[08:03.960 --> 08:05.960]  So you have your time until Tuesday.
[08:05.960 --> 08:08.960]  But I think you don't have much assignments for this week.
[08:08.960 --> 08:11.960]  I think it's just one discussion and one quiz.
[08:11.960 --> 08:13.960]  Is that right?
[08:13.960 --> 08:15.960]  Do you have any other assignment for this week?
[08:15.960 --> 08:18.960]  No. Okay. That's good.
[08:18.960 --> 08:21.960]  So if you get some time, it will be nice.
[08:21.960 --> 08:26.960]  If you can just navigate through everything that we have done in this chapter.
[08:26.960 --> 08:28.960]  It's a very content heavy chapter.
[08:28.960 --> 08:30.960]  Lot of topics are there.
[08:30.960 --> 08:35.960]  And it would be great if you can after this week.
[08:35.960 --> 08:41.960]  If you can find some time to go through everything that we have done so that it will be a good refresher for you.
[08:41.960 --> 08:46.960]  So I have already updated the folder with all the content that we have covered so far.
[08:46.960 --> 08:49.960]  Today's content will go after the session.
[08:49.960 --> 08:54.960]  The videos are also available for all the webinars that we have done until the last week.
[08:54.960 --> 08:57.960]  This webinar will also be put there.
[08:57.960 --> 09:01.960]  If you visited today, you may have seen that I have created a sub folder with the name quarter one.
[09:01.960 --> 09:02.960]  Sorry, term one.
[09:02.960 --> 09:07.960]  Let me share my screen so that it's not confusing to you.
[09:07.960 --> 09:13.960]  Just for the better organization of content rather than having everything put together.
[09:13.960 --> 09:21.960]  I thought it would be nice if we can put it according to each term so that it's easier to navigate.
[09:21.960 --> 09:27.960]  So let me show you what it looks like now.
[09:27.960 --> 09:32.960]  So here we have the main folder.
[09:32.960 --> 09:37.960]  You have access to this mate 2027 folder.
[09:37.960 --> 09:42.960]  And when you go inside this, we have this recordings.
[09:42.960 --> 09:49.960]  And in the recording, you can see that I have created a sub folder with the name term one, which has.
[09:49.960 --> 09:55.960]  Meet your teacher followed by a 1.1 until a 1.3.4.
[09:55.960 --> 10:01.960]  And today we are going to cover a 1.3.5, 6, 7 and a 1.3.
[10:01.960 --> 10:05.960]  And that's the last topic for today's session.
[10:05.960 --> 10:10.960]  How many of you are from SL class?
[10:10.960 --> 10:22.960]  Okay, so for SL class, you will get a little early release because there are only a few topics that we are going to cover for SL and then rest of them are for HL.
[10:22.960 --> 10:25.960]  So let's have a look at the subject guide.
[10:25.960 --> 10:34.960]  A 1.2.4.
[10:34.960 --> 10:38.960]  So we have done this towards tables construct logically diagram.
[10:38.960 --> 10:43.960]  So for SL, what we will do is we will look into one.
[10:43.960 --> 10:49.960]  One is a K map because some of your old backs to us saying that you have not fully understood K map.
[10:49.960 --> 10:52.960]  So we will cover this K map today.
[10:52.960 --> 10:58.960]  It cover in the sense we'll just revise what we have done in K map so that it's more convenient for you.
[10:58.960 --> 11:06.960]  We'll also look at Boolean algebra rules to simplify complex logic diagrams and expressions.
[11:06.960 --> 11:16.960]  For the logic gates, I don't know if the time will permit us today, but I have put some good videos for you in the content folder.
