[12:04.000 --> 12:12.000]  After the week
[12:12.000 --> 12:14.000]  How is it going?
[12:14.000 --> 12:16.000]  How is it going?
[12:16.000 --> 12:18.000]  How is this going?
[12:18.000 --> 12:26.000]  How much for one more leak?
[12:26.000 --> 12:38.000]  So three days in a row and we are getting close to December so waiting for that long three week holidays when I can go back to my home country.
[12:38.000 --> 12:46.000]  I'm sure you all must have planned your Christmas break holidays, right?
[12:46.000 --> 12:49.000]  Good.
[12:49.000 --> 13:01.000]  Okay, so I can see. Hi, Martin. Welcome.
[13:01.000 --> 13:08.000]  Hello, everyone.
[13:08.000 --> 13:17.000]  All right. So yeah, it's good to know that some of you turn on your camera in us from thing for it.
[13:17.000 --> 13:22.000]  That's nice. It makes class more interactive when we can see each other.
[13:22.000 --> 13:31.000]  For those who haven't turned on, if possible, you can turn it on so that you know we will get to see each other because this is the only time during the week when we get to see each other.
[13:31.000 --> 13:40.000]  And you'll be happy to know that our class is almost reaching a century mark. We are very close to that.
[13:40.000 --> 13:43.000]  So we started with about.
[13:43.000 --> 13:50.000]  Martin, it was around 50 right in the beginning when we started in September.
[13:50.000 --> 13:53.000]  Around 50.
[13:53.000 --> 14:01.000]  But there has been a gradual growth in the numbers. We have been getting new students almost every week.
[14:01.000 --> 14:04.000]  So that shows the success of the program.
[14:04.000 --> 14:14.000]  And I'm sure that a lot of muscle because of your positive feedback around which really spreads a good word around and the schools then trust us more.
[14:14.000 --> 14:21.000]  So thank you very much if you have ever given your positive feedback to anybody.
[14:21.000 --> 14:30.000]  So Pamoja is very happy with the way classes are going and they have shared their appreciation to each one of you who have been attending all the classes.
[14:30.000 --> 14:38.000]  Like I can see that some of you have attended all nine classes that we have done so far and really commendable.
[14:38.000 --> 14:41.000]  Having good attendance in Pamoja has always been challenging.
[14:41.000 --> 14:50.000]  I've taught digital society before and it was always so difficult to get the students because the approach was slightly different there.
[14:50.000 --> 14:56.000]  It was not content oriented. It was something different about the curriculum, about the assessments.
[14:56.000 --> 15:04.000]  So students were not so keen to attend those, but this new approach that we have taken together with Martin.
[15:04.000 --> 15:19.000]  It's really going on well and we feel satisfied that you know that if we are offering something to you, then we should give you enough help and support so that you can succeed in this program.
[15:19.000 --> 15:30.000]  Not just that in an asynchronous mode where we just post the content on canvas and we wash our hands that, okay, let students do it on their own because it's an online mode of learning.
[15:30.000 --> 15:41.000]  So that's why we keep saying that those who are missing frequently are actually at a major loss because people cannot gain so much by watching the recording.
[15:41.000 --> 15:46.000]  And I'm sure that those who are not attending the online classes must also not be watching the recording.
[15:46.000 --> 15:50.000]  So it's a loss to them that they have registered for a very difficult subject.
[15:50.000 --> 15:56.000]  Computer science is one of the most difficult subjects in all six groups of IBDP program.
[15:56.000 --> 16:15.000]  It's even more difficult than math, I would say. Sorry, Martin, if I'm not trying to undermine, you know, the level of difficulty or complexity for any subject, but then computer science is a different kind of subject where you have to apply your knowledge and understanding to solve a given problem, which may be totally unique.
[16:15.000 --> 16:18.000]  You may have never heard about that kind of problem before.
[16:18.000 --> 16:32.000]  So unless you spend some time, you may come some efforts to clarify your doubts on the week to week basis, you will see that it will start to become very complex for you going forward.
[16:32.000 --> 16:45.000]  But if you have been attending the weekly classes and if you are keeping yourself prepared with whatever we are covering each week, then I think it will be not so difficult for you.
[16:45.000 --> 16:53.000]  The results for computer science are generally very, you know, it goes very low in terms of seven.
[16:53.000 --> 17:00.000]  So like it generally ranges between 67 to 73 or 74 for a seven, which may look very easy.
[17:00.000 --> 17:07.000]  If you compare with other subjects, but then getting those 67 to 73 is, it requires a lot of skills.
[17:07.000 --> 17:11.000]  It's not easy even getting 67 to 73 score to get a seven.
[17:12.000 --> 17:20.000]  But if you are doing a justification to your own efforts in terms of covering the content and also now that we have started the IA.
[17:20.000 --> 17:29.000]  So if you continue to learn all those skills for paper, one paper, two and the IA and the case study, I would say it's not difficult.
[17:29.000 --> 17:36.000]  I mean, if you are planning things in a systematic way in an organized way, it's not very difficult.
[17:36.000 --> 17:45.000]  We will help you to prepare for the DP exams, which you will take in the month of May, June, 2027.
[17:45.000 --> 17:47.000]  We will tell you how to prepare yourself.
[17:47.000 --> 17:53.000]  But those tips will be helpful if you are keeping yourself updated with the weekly content.
[17:53.000 --> 17:59.000]  So it's our every week we tell you about this, the importance of keeping yourself updated.
[17:59.000 --> 18:00.000]  So keep doing that.
[18:00.000 --> 18:07.000]  If you look at the weekly content, we at times it is little too much, but then it's manageable.
[18:07.000 --> 18:12.000]  I think I mean, theory chapters are manageable if you go through the content week after week.
[18:12.000 --> 18:16.000]  Martin, you want to add anything?
[18:16.000 --> 18:18.000]  Yes, I do.
[18:18.000 --> 18:29.000]  I think that part of the difficulty level is that since part of the, for example, IA is something new creative.
[18:29.000 --> 18:32.000]  I mean, just solving a real life problem.
[18:32.000 --> 18:36.000]  That's at a degree of difficulty because it's unknown.
[18:36.000 --> 18:41.000]  You know, it's not like, I will say, I teach IB math, it's not like math.
[18:41.000 --> 18:45.000]  You know, you have a certain curriculum, certain things to cover.
[18:45.000 --> 18:52.000]  And a lot of the concepts that are assessed are concepts that have been assessed in the past.
[18:52.000 --> 18:57.000]  But for example, for the IA, something completely different that you are creating.
[18:57.000 --> 19:02.000]  And you have to make sure to get input from from the all the stakeholders.
[19:02.000 --> 19:06.000]  You have to make sure that your testing is correct.
[19:06.000 --> 19:10.000]  That has a degree of difficulty that no other subjects have.
[19:10.000 --> 19:13.000]  You know, so that makes it unique.
[19:13.000 --> 19:15.000]  All right.
[19:15.000 --> 19:16.000]  Yeah.
[19:16.000 --> 19:17.000]  True.
[19:17.000 --> 19:27.000]  So because in computer science, I mean, although we emphasize that you should use the skills that you learn as a part of IBDP computer science curriculum.
[19:27.000 --> 19:36.000]  But then you are not restricted to just, you know, to, to those skills, which you are covering as a part of SL or HL course, but some students go beyond that.
[19:36.000 --> 19:44.000]  So like, for example, if we are learning databases in a certain way and Java programming in a certain way.
[19:44.000 --> 19:50.000]  There is no reason that why you should go beyond that to explore other platforms for developing your IA.
[19:50.000 --> 19:58.000]  But then it's completely a student driven project, you know, so if you're keen in developing something where you think that.
[19:58.000 --> 20:04.000]  The additional skills that you will learn beyond the IB curriculum will be helpful for you in the university applications.
[20:04.000 --> 20:06.000]  I mean, you're free to do that, right?
[20:06.000 --> 20:16.000]  But the support in that case would be minimum from our end because not because we cannot help, but it will be too much of.
[20:16.000 --> 20:19.000]  I mean, because you have chosen some other platform.
[20:19.000 --> 20:26.000]  So that means we assume that you're already proficient in that or you are willing to spend time to learn them, which is good.
[20:26.000 --> 20:28.000]  I mean, we appreciate that.
[20:28.000 --> 20:33.000]  But then if you're stuck at some point, then it will be difficult for us to troubleshoot and see what could be the possible solution.
[20:33.000 --> 20:39.000]  So we want students in IB to be risk takers, but that should be calculated risk.
[20:39.000 --> 20:45.000]  I mean, take looking for some new platform, which you don't have any idea about is.
[20:45.000 --> 20:51.000]  In a way, I mean, it meets the IB learner profile of being risk taker.
[20:51.000 --> 20:58.000]  But then it may also lead to consequences where you may be left in between where there is no further direction left.
[20:58.000 --> 21:00.000]  So you have to come back and then restart.
[21:00.000 --> 21:06.000]  So be very calculated about how much time you have to learn new skills and apply them into the IA.
[21:06.000 --> 21:13.000]  Because you don't get the score for finding unique ways to solve a problem.
[21:13.000 --> 21:18.000]  There is no rubric doesn't say that it has to be unique or very fancy tool.
[21:18.000 --> 21:21.000]  It's just that they have a rubric criteria by criteria.
[21:21.000 --> 21:29.000]  And as long as you have met the requirements of each criteria, you are good to get even the highest score with just using the tools that you are going to learn from now.
[21:29.000 --> 21:32.000]  Until November December next year.
[21:32.000 --> 21:35.000]  So I would say that there are two benefits.
[21:35.000 --> 21:46.000]  Number one, you can spend the time that you say from IA in your remaining 80% or 70% of curriculum based on whether you are in HL or SL.
[21:46.000 --> 21:53.000]  So I would say that if in a normal way, if you spend about 32, 40 hours on IA.
[21:54.000 --> 22:08.000]  Even say let's say 60 hours on IA in a normal way using the skills that you learn is better than spending maybe 100 hours or 120 hours learning new skills and then applying them onto the IA.
[22:08.000 --> 22:20.000]  Because that additional 40 50 hours that you're spending in the IA, I would prefer using that in your theme A and theme B preparation because that counts 80% and 70%.
[22:21.000 --> 22:27.000]  And no matter how hard you try, it's it's very easy to get a six in computer science IA.
[22:27.000 --> 22:30.000]  The only thing is you have to just stick to the basics.
[22:30.000 --> 22:33.000]  Going from six to seven is little challenging, but you can achieve that.
[22:33.000 --> 22:39.000]  If you're seriously looking for very high scores in computer science, then you have to make your IA very, very.
[22:39.000 --> 22:48.000]  You know, it has to be systematic organized meeting all the top level requirements of the grade boundaries or the rubric.
[22:48.000 --> 22:53.000]  But getting six is okay. I mean, you don't have to spend too much time if you want to get a six in the IA.
[22:53.000 --> 22:57.000]  It's just that you have to stick to the basics, right?
[22:57.000 --> 23:08.000]  And the time as I said, if you save over here from the I and if you spend that in theme A and theme B practice, that would help you to get maximum within the remaining 80% and that counts a lot.
[23:08.000 --> 23:13.000]  I've seen through it scoring four in IA still getting overall a seven.
[23:13.000 --> 23:17.000]  So I'm not saying that you should aim for four, right?
[23:17.000 --> 23:24.000]  Minimum you should aim is six because if you just get six in IA and if you get some good score in computer science, paper one and paper two.
[23:24.000 --> 23:27.000]  There are high chances that you can get a seven, right?
[23:27.000 --> 23:37.000]  So going from six to seven is really difficult in IA, especially in computer science because they look for perfection in everything that you produce as a part of IA.
[23:37.000 --> 23:42.000]  So six to seven may require a lot of time and efforts, right?
[23:42.000 --> 23:53.000]  But keeping yourself six in IA just meeting the basic requirements and then doing best in the paper one and paper two could easily take you to a level of seven in an overall.
[23:53.000 --> 23:59.000]  So we're just telling you a few combinations here and there because I is just 20% for HL, right?
[23:59.000 --> 24:02.000]  So there is very marginal difference between six and seven.
[24:02.000 --> 24:08.000]  It doesn't make much difference when it comes to overall 100% score, including paper one paper to an IA.
[24:08.000 --> 24:14.000]  So even if you get six here and if you score high in remaining 80%, you can still get very high seven, right?
[24:14.000 --> 24:21.000]  Even with five in IA, you can still achieve seven overall because 80% is a lot, right?
[24:21.000 --> 24:25.000]  So it's time it carries four times more weightage than IA.
[24:25.000 --> 24:37.000]  So obviously instead of spending too much time in IA, I would say just stick to the basics, just meet the rubric requirements, produce a fully functional product, have some good test plan, have some good amount of data in the database.
[24:37.000 --> 24:40.000]  Show the features that you have built in the in the product.
[24:40.000 --> 24:43.000]  That should be good enough. I mean, that is what examiners look for.
[24:43.000 --> 24:54.000]  They know that you're a DP student. You're not a professional software developer that they would expect some real word problem to be solved, which is ready to be used, right?
[24:54.000 --> 25:06.000]  They know that you have limitations. You have resource limitation. You have time restrictions. So they just want to see that what extent to what extent have you developed the project management skills starting from criteria A to criteria E, which is.
[25:06.000 --> 25:12.000]  Analyzing the given problem inquiring about the requirements that design phase where you design the solution.
[25:12.000 --> 25:16.000]  Then you develop the solution you troubleshoot and finally you evaluate the product.
[25:16.000 --> 25:25.000]  So if you have done enough justice to these four stages of the product development, I think you will be all good to go between six and seven.
[25:25.000 --> 25:29.000]  But then it requires commitment, right?
[25:29.000 --> 25:40.000]  Because if you fall behind in any of the criteria, the rest of the class would already have moved to the next criteria and they would be least support available if you're lagging behind.
[25:40.000 --> 25:43.000]  So we will then leave it on to you that you submit whatever you want to.
[25:43.000 --> 25:49.000]  So you won't get any feedback for that because once the feedback window is gone, we will be occupied with the next phase.
[25:49.000 --> 25:55.000]  So we won't be going back and looking at your work. So whatever you submit would be full and final, right?
[25:55.000 --> 26:05.000]  So this week we have the project proposal and I hope that you all are working on that because if you don't submit the project proposal by this end of this week that is Tuesday.
[26:05.000 --> 26:13.000]  Next week, Martin and myself will be going through your proposals to give you the feedback whether you can go ahead with that project or not.
[26:13.000 --> 26:22.000]  And if you don't get your work and then probably we will just say whatever you have decided go ahead with that because we won't be giving the feedback after that.
[26:22.000 --> 26:29.000]  Only in the exceptional conditions when you have some medical condition or you are busy with.
[26:29.000 --> 26:34.000]  I mean, even I would not say that you are busy with the school stuff because this is also school stuff.
[26:34.000 --> 26:40.000]  If you have a summative, if you have an internal test, right? Other subjects don't stop for that.
